component,explained_variance_ratio,cumulative_explained_variance
PC493,1.2529614619366982e-05,0.9990604446833096
PC494,1.250343731878039e-05,0.9990729481206283
PC495,1.2470991544607535e-05,0.9990854191121729
PC496,1.2465571300947374e-05,0.9990978846834738
PC497,1.2427359498222106e-05,0.9991103120429721
PC498,1.2415340022036774e-05,0.9991227273829941
PC499,1.239008832749975e-05,0.9991351174713217
PC500,1.2377497240839925e-05,0.9991474949685625
PC501,1.237141677174204e-05,0.9991598663853343
PC502,1.2351661647304854e-05,0.9991722180469815
PC503,1.2351661647304854e-05,0.9991845697086288
PC504,1.2351661647304842e-05,0.999196921370276
PC505,1.2351661647304834e-05,0.9992092730319233
PC506,1.2351661647304834e-05,0.9992216246935706
PC507,1.2351661647304822e-05,0.9992339763552178
PC508,1.2351661647304822e-05,0.9992463280168651
PC509,1.2351661647304822e-05,0.9992586796785123
PC510,1.2351661647304808e-05,0.9992710313401596
PC511,1.2351447279063395e-05,0.9992833827874387
PC512,1.235035916449792e-05,0.9992957331466031
PC513,1.2321438092289028e-05,0.9993080545846954
PC514,1.2234606760749388e-05,0.9993202891914561
PC515,1.2211344140049742e-05,0.9993325005355962
PC516,1.2159823231035866e-05,0.9993446603588272
PC517,1.2133887763947484e-05,0.9993567942465912
PC518,1.2110948154489137e-05,0.9993689051947456
PC519,1.2035740362172765e-05,0.9993809409351078
PC520,1.1850644400165471e-05,0.9993927915795079
PC521,1.1817164770605308e-05,0.9994046087442785
PC522,1.1806727427046753e-05,0.9994164154717056
PC523,1.1745793819220318e-05,0.9994281612655248
PC524,1.1624024131472912e-05,0.9994397852896563
PC525,1.148699384107806e-05,0.9994512722834974
PC526,1.136051800308394e-05,0.9994626328015005
PC527,1.1295279599289145e-05,0.9994739280810998
PC528,1.1101764018425487e-05,0.9994850298451182
PC529,1.0966053575157758e-05,0.9994959958986934
PC530,1.0856066047249949e-05,0.9995068519647407
PC531,1.0735911082798778e-05,0.9995175878758235
PC532,1.0704259698586687e-05,0.9995282921355221
PC533,1.0567046797194486e-05,0.9995388591823193
PC534,1.0384444151162932e-05,0.9995492436264705
PC535,1.0356814352532028e-05,0.999559600440823
PC536,1.0268803883094386e-05,0.9995698692447061
PC537,1.0069846476419564e-05,0.9995799390911826
PC538,9.917769287706427e-06,0.9995898568604703
PC539,9.77066411212386e-06,0.9995996275245824
PC540,9.713120878427422e-06,0.9996093406454608
PC541,9.690091104028801e-06,0.9996190307365649
PC542,9.394844042033651e-06,0.9996284255806069
PC543,9.28692979436753e-06,0.9996377125104013
PC544,9.117893363799033e-06,0.9996468304037651
PC545,9.008712918730803e-06,0.9996558391166839
PC546,8.856575802709416e-06,0.9996646956924866
PC547,8.692017528376787e-06,0.999673387710015
PC548,8.55602859277027e-06,0.9996819437386077
PC549,8.482635175682109e-06,0.9996904263737835
PC550,8.229175404586675e-06,0.999698655549188
PC551,8.191051903254974e-06,0.9997068466010913
PC552,8.08844841226669e-06,0.9997149350495036
PC553,7.952500190439477e-06,0.9997228875496941
PC554,7.883361337789409e-06,0.9997307709110319
